"REF_DATE","GEO","DGUID","Building Type","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2006-01","Canada","2016A000011124","Total, building type","2019=100","401","units","0","v1210497010","1.1","80.9","","","","1"
"2006-02","Canada","2016A000011124","Total, building type","2019=100","401","units","0","v1210497010","1.1","80.7","","","","1"
"2006-03","Canada","2016A000011124","Total, building type","2019=100","401","units","0","v1210497010","1.1","81.2","","","","1"
"2006-04","Canada","2016A000011124","Total, building type","2019=100","401","units","0","v1210497010","1.1","81.7","","","","1"
"2006-05","Canada","2016A000011124","Total, building type","2019=100","401","units","0","v1210497010","1.1","81.5","","","","1"
"2006-06","Canada","2016A000011124","Total, building type","2019=100","401","units","0","v1210497010","1.1","81.8","","","","1"
"2006-07","Canada","2016A000011124","Total, building type","2019=100","401","units","0","v1210497010","1.1","81.1","","","","1"
"2006-08","Canada","2016A000011124","Total, building type","2019=100","401","units","0","v1210497010","1.1","81.0","","","","1"
"2006-09","Canada","2016A000011124","Total, building type","2019=100","401","units","0","v1210497010","1.1","81.2","","","","1"
"2006-10","Canada","2016A000011124","Total, building type","2019=100","401","units","0","v1210497010","1.1","81.2","","","","1"
"2006-11","Canada","2016A000011124","Total, building type","2019=100","401","units","0","v1210497010","1.1","81.2","","","","1"
"2006-12","Canada","2016A000011124","Total, building type","2019=100","401","units","0","v1210497010","1.1","82.2","","","","1"
"2007-01","Canada","2016A000011124","Total, building type","2019=100","401","units","0","v1210497010","1.1","81.7","","","","1"
"2007-02","Canada","2016A000011124","Total, building type","2019=100","401","units","0","v1210497010","1.1","81.9","","","","1"
"2007-03","Canada","2016A000011124","Total, building type","2019=100","401","units","0","v1210497010","1.1","82.1","","","","1"
"2007-04","Canada","2016A000011124","Total, building type","2019=100","401","units","0","v1210497010","1.1","81.3","","","","1"
"2007-05","Canada","2016A000011124","Total, building type","2019=100","401","units","0","v1210497010","1.1","81.4","","","","1"
"2007-06","Canada","2016A000011124","Total, building type","2019=100","401","units","0","v1210497010","1.1","81.2","","","","1"
"2007-07","Canada","2016A000011124","Total, building type","2019=100","401","units","0","v1210497010","1.1","82.6","","","","1"
"2007-08","Canada","2016A000011124","Total, building type","2019=100","401","units","0","v1210497010","1.1","82.7","","","","1"
"2007-09","Canada","2016A000011124","Total, building type","2019=100","401","units","0","v1210497010","1.1","82.9","","","","1"
"2007-10","Canada","2016A000011124","Total, building type","2019=100","401","units","0","v1210497010","1.1","82.1","","","","1"
"2007-11","Canada","2016A000011124","Total, building type","2019=100","401","units","0","v1210497010","1.1","82.2","","","","1"
"2007-12","Canada","2016A000011124","Total, building type","2019=100","401","units","0","v1210497010","1.1","83.2","","","","1"
"2008-01","Canada","2016A000011124","Total, building type","2019=100","401","units","0","v1210497010","1.1","82.4","","","","1"
"2008-02","Canada","2016A000011124","Total, building type","2019=100","401","units","0","v1210497010","1.1","83.0","","","","1"
"2008-03","Canada","2016A000011124","Total, building type","2019=100","401","units","0","v1210497010","1.1","82.5","","","","1"
"2008-04","Canada","2016A000011124","Total, building type","2019=100","401","units","0","v1210497010","1.1","82.3","","","","1"
"2008-05","Canada","2016A000011124","Total, building type","2019=100","401","units","0","v1210497010","1.1","81.7","","","","1"
"2008-06","Canada","2016A000011124","Total, building type","2019=100","401","units","0","v1210497010","1.1","82.3","","","","1"
"2008-07","Canada","2016A000011124","Total, building type","2019=100","401","units","0","v1210497010","1.1","82.4","","","","1"
"2008-08","Canada","2016A000011124","Total, building type","2019=100","401","units","0","v1210497010","1.1","82.6","","","","1"
"2008-09","Canada","2016A000011124","Total, building type","2019=100","401","units","0","v1210497010","1.1","82.8","","","","1"
"2008-10","Canada","2016A000011124","Total, building type","2019=100","401","units","0","v1210497010","1.1","83.4","","","","1"
"2008-11","Canada","2016A000011124","Total, building type","2019=100","401","units","0","v1210497010","1.1","83.8","","","","1"
"2008-12","Canada","2016A000011124","Total, building type","2019=100","401","units","0","v1210497010","1.1","84.5","","","","1"
"2009-01","Canada","2016A000011124","Total, building type","2019=100","401","units","0","v1210497010","1.1","84.1","","","","1"
"2009-02","Canada","2016A000011124","Total, building type","2019=100","401","units","0","v1210497010","1.1","84.2","","","","1"
"2009-03","Canada","2016A000011124","Total, building type","2019=100","401","units","0","v1210497010","1.1","84.2","","","","1"
"2009-04","Canada","2016A000011124","Total, building type","2019=100","401","units","0","v1210497010","1.1","85.0","","","","1"
"2009-05","Canada","2016A000011124","Total, building type","2019=100","401","units","0","v1210497010","1.1","85.2","","","","1"
"2009-06","Canada","2016A000011124","Total, building type","2019=100","401","units","0","v1210497010","1.1","85.1","","","","1"
"2009-07","Canada","2016A000011124","Total, building type","2019=100","401","units","0","v1210497010","1.1","84.7","","","","1"
"2009-08","Canada","2016A000011124","Total, building type","2019=100","401","units","0","v1210497010","1.1","84.7","","","","1"
"2009-09","Canada","2016A000011124","Total, building type","2019=100","401","units","0","v1210497010","1.1","85.2","","","","1"
"2009-10","Canada","2016A000011124","Total, building type","2019=100","401","units","0","v1210497010","1.1","85.0","","","","1"
"2009-11","Canada","2016A000011124","Total, building type","2019=100","401","units","0","v1210497010","1.1","85.4","","","","1"
"2009-12","Canada","2016A000011124","Total, building type","2019=100","401","units","0","v1210497010","1.1","85.6","","","","1"
"2010-01","Canada","2016A000011124","Total, building type","2019=100","401","units","0","v1210497010","1.1","85.5","","","","1"
"2010-02","Canada","2016A000011124","Total, building type","2019=100","401","units","0","v1210497010","1.1","85.4","","","","1"
"2010-03","Canada","2016A000011124","Total, building type","2019=100","401","units","0","v1210497010","1.1","85.4","","","","1"
"2010-04","Canada","2016A000011124","Total, building type","2019=100","401","units","0","v1210497010","1.1","85.7","","","","1"
"2010-05","Canada","2016A000011124","Total, building type","2019=100","401","units","0","v1210497010","1.1","85.6","","","","1"
"2010-06","Canada","2016A000011124","Total, building type","2019=100","401","units","0","v1210497010","1.1","85.8","","","","1"
"2010-07","Canada","2016A000011124","Total, building type","2019=100","401","units","0","v1210497010","1.1","85.7","","","","1"
"2010-08","Canada","2016A000011124","Total, building type","2019=100","401","units","0","v1210497010","1.1","86.0","","","","1"
"2010-09","Canada","2016A000011124","Total, building type","2019=100","401","units","0","v1210497010","1.1","86.3","","","","1"
"2010-10","Canada","2016A000011124","Total, building type","2019=100","401","units","0","v1210497010","1.1","86.9","","","","1"
"2010-11","Canada","2016A000011124","Total, building type","2019=100","401","units","0","v1210497010","1.1","87.0","","","","1"
"2010-12","Canada","2016A000011124","Total, building type","2019=100","401","units","0","v1210497010","1.1","87.1","","","","1"
"2011-01","Canada","2016A000011124","Total, building type","2019=100","401","units","0","v1210497010","1.1","86.4","","","","1"
"2011-02","Canada","2016A000011124","Total, building type","2019=100","401","units","0","v1210497010","1.1","86.8","","","","1"
"2011-03","Canada","2016A000011124","Total, building type","2019=100","401","units","0","v1210497010","1.1","87.0","","","","1"
"2011-04","Canada","2016A000011124","Total, building type","2019=100","401","units","0","v1210497010","1.1","87.2","","","","1"
"2011-05","Canada","2016A000011124","Total, building type","2019=100","401","units","0","v1210497010","1.1","87.4","","","","1"
"2011-06","Canada","2016A000011124","Total, building type","2019=100","401","units","0","v1210497010","1.1","87.5","","","","1"
"2011-07","Canada","2016A000011124","Total, building type","2019=100","401","units","0","v1210497010","1.1","87.4","","","","1"
"2011-08","Canada","2016A000011124","Total, building type","2019=100","401","units","0","v1210497010","1.1","87.6","","","","1"
"2011-09","Canada","2016A000011124","Total, building type","2019=100","401","units","0","v1210497010","1.1","87.6","","","","1"
"2011-10","Canada","2016A000011124","Total, building type","2019=100","401","units","0","v1210497010","1.1","87.7","","","","1"
"2011-11","Canada","2016A000011124","Total, building type","2019=100","401","units","0","v1210497010","1.1","88.1","","","","1"
"2011-12","Canada","2016A000011124","Total, building type","2019=100","401","units","0","v1210497010","1.1","88.1","","","","1"
"2012-01","Canada","2016A000011124","Total, building type","2019=100","401","units","0","v1210497010","1.1","88.2","","","","1"
"2012-02","Canada","2016A000011124","Total, building type","2019=100","401","units","0","v1210497010","1.1","88.2","","","","1"
"2012-03","Canada","2016A000011124","Total, building type","2019=100","401","units","0","v1210497010","1.1","88.2","","","","1"
"2012-04","Canada","2016A000011124","Total, building type","2019=100","401","units","0","v1210497010","1.1","88.2","","","","1"
"2012-05","Canada","2016A000011124","Total, building type","2019=100","401","units","0","v1210497010","1.1","88.3","","","","1"
"2012-06","Canada","2016A000011124","Total, building type","2019=100","401","units","0","v1210497010","1.1","88.2","","","","1"
"2012-07","Canada","2016A000011124","Total, building type","2019=100","401","units","0","v1210497010","1.1","88.3","","","","1"
