REF_DATE,Alberta | Industrial buildings and warehouses,Alberta | Office buildings,Alberta | Retail buildings,"Alberta | Total, building type",Atlantic Region | Industrial buildings and warehouses,Atlantic Region | Office buildings,Atlantic Region | Retail buildings,"Atlantic Region | Total, building type",British Columbia | Industrial buildings and warehouses,British Columbia | Office buildings,British Columbia | Retail buildings,"British Columbia | Total, building type","Calgary, Alberta | Industrial buildings and warehouses","Calgary, Alberta | Office buildings","Calgary, Alberta | Retail buildings","Calgary, Alberta | Total, building type",Canada | Industrial buildings and warehouses,Canada | Office buildings,Canada | Retail buildings,"Canada | Total, building type","Charlottetown, Prince Edward Island | Total, building type","Edmonton, Alberta | Total, building type","Halifax, Nova Scotia | Total, building type","Manitoba | Total, building type","Montréal, Quebec | Industrial buildings and warehouses","Montréal, Quebec | Office buildings","Montréal, Quebec | Retail buildings","Montréal, Quebec | Total, building type","New Brunswick | Total, building type","Newfoundland and Labrador | Total, building type","Nova Scotia | Total, building type",Ontario | Industrial buildings and warehouses,Ontario | Office buildings,Ontario | Retail buildings,"Ontario | Total, building type","Ottawa-Gatineau, Ontario Part, Ontario/Quebec | Total, building type",Prairie Region | Industrial buildings and warehouses,Prairie Region | Office buildings,Prairie Region | Retail buildings,"Prairie Region | Total, building type","Prince Edward Island | Total, building type",Quebec | Industrial buildings and warehouses,Quebec | Office buildings,Quebec | Retail buildings,"Quebec | Total, building type","Québec, Quebec | Total, building type","Saint John, New Brunswick | Total, building type","Saskatchewan | Total, building type","Saskatoon, Saskatchewan | Total, building type","St. John's, Newfoundland and Labrador | Total, building type","Territories | Total, building type","Toronto, Ontario | Industrial buildings and warehouses","Toronto, Ontario | Office buildings","Toronto, Ontario | Retail buildings","Toronto, Ontario | Total, building type","Vancouver, British Columbia | Industrial buildings and warehouses","Vancouver, British Columbia | Office buildings","Vancouver, British Columbia | Retail buildings","Vancouver, British Columbia | Total, building type","Winnipeg, Manitoba | Total, building type"
2006-01,,,,,,,,,,,,,,,,,,,,80.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-02,,,,,,,,,,,,,,,,,,,,80.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-03,,,,,,,,,,,,,,,,,,,,81.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-04,,,,,,,,,,,,,,,,,,,,81.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-05,,,,,,,,,,,,,,,,,,,,81.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-06,,,,,,,,,,,,,,,,,,,,81.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-07,,,,,,,,,,,,,,,,,,,,81.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-08,,,,,,,,,,,,,,,,,,,,81.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-09,,,,,,,,,,,,,,,,,,,,81.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-10,,,,,,,,,,,,,,,,,,,,81.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-11,,,,,,,,,,,,,,,,,,,,81.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-12,,,,,,,,,,,,,,,,,,,,82.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-01,,,,,,,,,,,,,,,,,,,,81.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-02,,,,,,,,,,,,,,,,,,,,81.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
